brand,title,kilometer,gas_type,gear_box,year,price,ad_link,sv_avg_class,hp,cilinder
Abarth,Abarth 595 1.4 T-Jet Turismo,80000,petrol,manual,2017,18500,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-turismo-ID8PHUmm.html,2,165,1368
Abarth,Abarth 695C 1.4 T-Jet Rivale,27700,petrol,manual,2018,27990,https://www.standvirtual.com/carros/anuncio/abarth-695c-1-4-t-jet-rivale-ID8PLXQj.html,0,180,1368
Abarth,Abarth 595 1.4 T-Jet,95272,petrol,manual,2016,16950,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-ID8PEF5N.html,2,145,1368
Abarth,Abarth 595 1.4 T-Jet Yamaha,73800,petrol,manual,2016,17500,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-yamaha-ID8PKK0Z.html,0,160,1368
Abarth,Abarth 595 1.4 T-Jet,9000,petrol,manual,2021,24900,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-ID8PKBqZ.html,0,145,1368
Abarth,Abarth 595 1.4 T-Jet Turismo,1000,petrol,manual,2022,27000,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-turismo-ID8PK750.html,0,165,1368
Abarth,Abarth 695 1.4 T-Jet Tributo Ferrari,14000,petrol,manual,2011,38750,https://www.standvirtual.com/carros/anuncio/abarth-695-1-4-t-jet-tributo-ferrari-ID8PKMPj.html,0,180,1368
Abarth,Abarth 595 1.4 T-Jet Esseesse,11000,petrol,manual,2020,27950,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-esseesse-ID8PHxOo.html,2,180,1368
Abarth,Abarth 500C,54000,petrol,manual,2016,16990,https://www.standvirtual.com/carros/anuncio/abarth-500c-ID8PJDf6.html,1,140,1368
Abarth,Abarth 500e Scorpionissima,29000,electric,auto,2023,28000,https://www.standvirtual.com/carros/anuncio/abarth-500e-scorpionissima-ID8PKYDV.html,0,,
Abarth,Abarth 595 1.4 T-Jet Turismo MTA,117000,petrol,auto,2017,18500,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-turismo-mta-ID8PLugh.html,2,165,1368
Abarth,Abarth 595C 1.4 T-Jet 595 MTA,87000,petrol,auto,2016,18750,https://www.standvirtual.com/carros/anuncio/abarth-595c-1-4-t-jet-595-mta-ID8PHmwT.html,0,145,1368
Abarth,Abarth 595 1.4 T-Jet Turismo,39000,petrol,manual,2021,25990,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-turismo-ID8PJDcv.html,1,165,1368
Abarth,Abarth 595C 1.4 T-Jet 595,39454,petrol,manual,2018,21950,https://www.standvirtual.com/carros/anuncio/abarth-595c-1-4-t-jet-595-ID8PLX80.html,0,145,1368
Abarth,Abarth 595 1.4 T-Jet 50 Aniversário MTA,22000,petrol,auto,2021,26800,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-50-aniversrio-mta-ID8PLVVz.html,0,180,1368
Abarth,Abarth 595 1.4 T-Jet,121707,petrol,manual,2017,17900,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-ID8PKDTo.html,2,145,1368
Abarth,Abarth 595C 1.4 T-Jet Turismo MTA,88700,petrol,auto,2016,18500,https://www.standvirtual.com/carros/anuncio/abarth-595c-1-4-t-jet-turismo-mta-ID8PLjPO.html,0,165,1368
Abarth,Abarth 595 1.4 T-Jet Custom MTA,69980,petrol,auto,2014,16150,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-custom-mta-ID8PGPlC.html,2,140,1368
Abarth,Abarth 595 1.4 T-Jet Competizione MTA,42000,petrol,auto,2015,16500,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-competizione-mta-ID8PLFqw.html,0,180,1368
Abarth,Abarth 595 1.4 T-Jet Yamaha,73800,petrol,manual,2016,17500,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-yamaha-ID8PKK0Z.html,0,160,1368
